I love you	Tôi yêu bạn
How are you	Bạn khỏe không
Hello	Xin chào
Come in	Mời vào
You lost	Bạn thua rồi
I eat rice	Tôi ăn cơm	
Tom is wet	Tom ướt hết rồi
We all lie	Chúng ta ai cũng nói dối cả
What a shame!	Thật đáng tiếc!
I'm not blind	Tôi không mù
Let Tom drive	Hãy để Tom lái xe
We need money	Chúng ta cần tiền
You are drunk!	Bạn say rồi!
I hate driving	Tôi ghét lái xe
I love driving	Tôi thích lái xe
I'm not a poet	Tôi không phải là nhà thơ
She's not here	Cô ấy không có ở đây
Try this sauce	Hãy thử loại nước sốt này
Cats catch mice	Mèo bắt chuột
I have dry skin	Tôi có làn da khô
Tom already ate	Tom đã ăn rồi
Tom kept trying	Tom cứ cố gắng mãi
What does he do?	Cậu ấy làm gì vậy?
You are naughty	Bạn thật hư
